_id,age_certification,description,genres[0],genres[1],genres[2],genres[3],genres[4],genres[5],genres[6],genres[7],genres[8],id,production_countries[0],production_countries[1],production_countries[2],production_countries[3],production_countries[4],production_countries[5],production_countries[6],release_year,runtime,title,type,imdb_score,imdbScore,ageCertification,productionCountries[0],productionCountries[1],releaseYear,__v
66f562d6595d90b3b3fedd60,TV-PG,A stand-up comedian and his three offbeat friends weather the pitfalls and payoffs of life in New York City in the '90s. It's a show about nothing.,comedy,,,,,,,,,ts20681,US,,,,,,,1989,24,Seinfeld,SHOW,8.9,,,,,,
66f562d6595d90b3b3fedd61,R,"Gordie, Chris, Teddy and Vern are four friends who decide to hike to find the corpse of Ray Brower, a local teenager, who was hit by a train while plucking blueberries in the wild.",drama,,,,,,,,,tm111075,US,,,,,,,1986,89,Stand by Me,MOVIE,8.1,,,,,,
66f562d6595d90b3b3fedd62,R,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",drama,crime,european,,,,,,,tm180542,US,IT,,,,,,1984,229,Once Upon a Time in America,MOVIE,8.3,,,,,,
66f562d6595d90b3b3fedd63,R,"During their travel from Chicago to New York, Harry and Sally debate whether or not sex ruins a friendship between a man and a woman. Eleven years later, and they're still no closer to finding the answer.",romance,comedy,drama,,,,,,,tm138875,US,,,,,,,1989,96,When Harry Met Sally...,MOVIE,7.7,,,,,,
66f562d6595d90b3b3fedd64,PG,"A quartet of humanoid turtles, trained by their mentor in ninjitsu, must learn to work together to face the menace of Shredder and the Foot Clan.",scifi,action,comedy,family,,,,,,tm155792,HK,US,,,,,,1990,93,Teenage Mutant Ninja Turtles,MOVIE,6.7,,,,,,
66f562d6595d90b3b3fedd65,R,A pragmatic U.S. Marine observes the dehumanizing effects the U.S.-Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,drama,war,,,,,,,,tm22327,GB,US,,,,,,1987,116,Full Metal Jacket,MOVIE,8.3,,,,,,
66f562d6595d90b3b3fedd66,R,"Geeky student Arnie Cunningham falls for Christine, a rusty 1958 Plymouth Fury, and becomes obsessed with restoring the classic automobile to her former glory. As the car changes, so does Arnie, whose newfound confidence turns to arrogance behind the wheel of his exotic beauty. Arnie's girlfriend Leigh and best friend Dennis reach out to him, only to be met by a Fury like no other.",horror,thriller,european,,,,,,,tm54450,US,,,,,,,1983,90,Christine,MOVIE,6.7,,,,,,
66f562d6595d90b3b3fedd67,R,"Teenagers in a small town are dropping like flies, apparently in the grip of mass hysteria causing their suicides. A cop's daughter, Nancy Thompson, traces the cause to child molester Fred Krueger, who was burned alive by angry parents many years before. Krueger has now come back in the dreams of his killers' children, claiming their lives as his revenge. Nancy and her boyfriend, Glen, must devise a plan to lure the monster out of the realm of nightmares and into the real world...",horror,,,,,,,,,tm2386,US,,,,,,,1984,91,A Nightmare on Elm Street,MOVIE,7.4,,,,,,
66f562d6595d90b3b3fedd68,TV-PG,"Michael Long, an undercover police officer, is shot while investigating a case and left for dead by his assailants. He is rescued by Wilton Knight, a wealthy, dying millionaire and inventor who arranges life-saving surgery, including a new face and a new identity--that of Michael Knight. Michael is then given a special computerized and indestructible car called the Knight Industries Two Thousand (nicknamed KITT), and a mission: apprehend criminals who are beyond the reach of the law. The series depicts Michael's exploits as he and KITT battle the forces of evil on behalf of the Foundation for Law and Government.",action,scifi,crime,drama,,,,,,ts22082,US,,,,,,,1982,51,Knight Rider,SHOW,6.9,,,,,,
66f562d6595d90b3b3fedd69,PG-13,"Dr. Malcolm Sayer, a shy research physician, uses an experimental drug to ""awaken"" the catatonic victims of a rare disease. Leonard is the first patient to receive the controversial treatment. His awakening, filled with awe and enthusiasm, proves a rebirth for Sayer too, as the exuberant patient reveals life's simple but unutterably sweet pleasures to the introverted doctor.",drama,european,,,,,,,,tm145608,US,,,,,,,1990,120,Awakenings,MOVIE,7.8,,,,,,
66f562d6595d90b3b3fedd6a,TV-Y,"Thomas & Friends is a British children's television series, which had its first broadcast on the ITV network on 4 September 1984. It is based on The Railway Series of books by the Reverend Wilbert Awdry and his son, Christopher Awdry. These books deal with the adventures of a group of anthropomorphised locomotives and road vehicles who live on the fictional Island of Sodor. The books were based on stories Wilbert told to entertain his son, Christopher during his recovery from measles. From Series one to four, many of the stories are based on events from Awdry's personal experience.",family,comedy,music,action,animation,fantasy,drama,,,ts21715,GB,,,,,,,1984,10,Thomas & Friends,SHOW,6.5,,,,,,
66f562d6595d90b3b3fedd6b,PG,"An orphan in a facility run by the mean Miss Hannigan, Annie believes that her parents left her there by mistake. When a rich man named Oliver ""Daddy"" Warbucks decides to let an orphan live at his home to promote his image, Annie is selected. While Annie gets accustomed to living in Warbucks' mansion, she still longs to meet her parents. So Warbucks announces a search for them and a reward, which brings out many frauds.",drama,family,comedy,,,,,,,tm41289,US,,,,,,,1982,127,Annie,MOVIE,6.6,,,,,,
66f562d6595d90b3b3fedd6c,R,"Dr. Louis Creed's family moves into the country house of their dreams and discover a pet cemetery at the back of their property. The cursed burial ground deep in the woods brings the dead back to life -- with ""minor"" problems. At first, only the family's cat makes the return trip, but an accident forces a heartbroken father to contemplate the unthinkable.",horror,fantasy,thriller,,,,,,,tm132694,US,,,,,,,1989,103,Pet Sematary,MOVIE,6.5,,,,,,
66f562d6595d90b3b3fedd6d,TV-G,"Lovable schemer Zack Morris leads his pals on adventures at California's Bayside High School. The friends navigate relationships, final exams, school dances, breakups and more while frequently frustrating their principal, Mr. Richard Belding, who does his best to keep them in check.",comedy,romance,family,,,,,,,ts20678,US,,,,,,,1989,23,Saved by the Bell,SHOW,7.1,,,,,,
66f562d6595d90b3b3fedd6e,R,"The story of Nola Darling's simultaneous sexual relationships with three different men is told by her and by her partners and other friends. All three men wanted her to commit solely to them; Nola resists being ""owned"" by a single partner.",comedy,romance,,,,,,,,tm117580,US,,,,,,,1986,84,She's Gotta Have It,MOVIE,6.7,,,,,,
66f562d6595d90b3b3fedd6f,R,"Eddie Murphy delights, shocks and entertains with dead-on celebrity impersonations, observations on '80s love, sex and marriage, a remembrance of Mom's hamburgers and much more.",comedy,documentation,,,,,,,,tm20712,US,,,,,,,1987,93,Eddie Murphy Raw,MOVIE,7.6,,,,,,
66f562d6595d90b3b3fedd70,R,"Two young kids fall in love with each other. But the passion is too consuming for the parents of Jade. The parents try to stop them from seeing each other. But when this doesn't work, David burns down the house and is sent away. This doesn't stop him from seeing her. When he gets out he goes to look for her. But the passion for his first love is too strong and she has to leave.",drama,romance,,,,,,,,tm130586,US,,,,,,,1981,116,Endless Love,MOVIE,4.9,,,,,,
66f562d6595d90b3b3fedd71,TV-G,"This game show sees contestants solve word puzzles, similar to those used in Hangman, to win cash and prizes determined by spinning a giant carnival wheel.",family,,,,,,,,,ts25028,US,,,,,,,1983,26,Wheel of Fortune,SHOW,6.7,,,,,,
